Time,Marketcap
"March 31,2012",6.38
"June 30,2012",3.8
"September 30,2012",3.7
"December 31,2012",5.37
"March 31,2013",9.58
"June 30,2013",12.28
"September 30,2013",19.05
"December 31,2013",21.72
"March 31,2014",20.24
"June 30,2014",28.42
"September 30,2014",27.61
"December 31,2014",21.12
"March 31,2015",25.16
"June 30,2015",40.14
"September 30,2015",45.19
"December 31,2015",48.71
"March 31,2016",45.29
"June 30,2016",41.47
"September 30,2016",42.27
"December 31,2016",56.44
"March 31,2017",63.65
"June 30,2017",71.26
"September 30,2017",76.28
"December 31,2017",91.17
"March 31,2018",125.68
"June 30,2018",156.88
"September 30,2018",152.97
"December 31,2018",130.02
